stats.LF30.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.885433, 356.659592, 18.885433, 18.885433
stats.LF30.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.362256, 301.447916, 17.362256, 17.362256
stats.LF30.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.841917, 355.017821, 18.841917, 18.841917
stats.LF35.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.924430, 358.134059, 18.924430, 18.924430
stats.LF35.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.386584, 302.293296, 17.386584, 17.386584
stats.LF35.csv:local_ep_2_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.050942, 362.938382, 19.050942, 19.050942
stats.LF35.csv:local_ep_0_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.266289, 298.124739, 17.266289, 17.266289
stats.LF35.csv:local_ep_1_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 15.931544, 253.814079, 15.931544, 15.931544
stats.LF35.csv:local_ep_2_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.204282, 295.987315, 17.204282, 17.204282
stats.LF35.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.960047, 359.483365, 18.960047, 18.960047
stats.LF35.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.410793, 303.135701, 17.410793, 17.410793
stats.LF35.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.933292, 358.469550, 18.933292, 18.933292
stats.LF40.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.062930, 363.395283, 19.062930, 19.062930
stats.LF40.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.455758, 304.703483, 17.455758, 17.455758
stats.LF40.csv:local_ep_2_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.164306, 367.270625, 19.164306, 19.164306
stats.LF40.csv:local_ep_0_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.337423, 300.586221, 17.337423, 17.337423
stats.LF40.csv:local_ep_1_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 16.005445, 256.174284, 16.005445, 16.005445
stats.LF40.csv:local_ep_2_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.292327, 299.024567, 17.292327, 17.292327
stats.LF40.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.124878, 365.760954, 19.124878, 19.124878
stats.LF40.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.562584, 308.444346, 17.562584, 17.562584
stats.LF40.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.094746, 364.609321, 19.094746, 19.094746
stats.LF45.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.304583, 372.666913, 19.304583, 19.304583
stats.LF45.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.631658, 310.875379, 17.631658, 17.631658
stats.LF45.csv:local_ep_2_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.395846, 376.198853, 19.395846, 19.395846
stats.LF45.csv:local_ep_0_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.491741, 305.960996, 17.491741, 17.491741
stats.LF45.csv:local_ep_1_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 16.063812, 258.046068, 16.063812, 16.063812
stats.LF45.csv:local_ep_2_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.454207, 304.649332, 17.454207, 17.454207
stats.LF45.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.322884, 373.373859, 19.322884, 19.322884
stats.LF45.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.679474, 312.563816, 17.679474, 17.679474
stats.LF45.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.288151, 372.032779, 19.288151, 19.288151
stats.LF50.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.585953, 383.609574, 19.585953, 19.585953
stats.LF50.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.835397, 318.101389, 17.835397, 17.835397
stats.LF50.csv:local_ep_2_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.653168, 386.246995, 19.653168, 19.653168
stats.LF50.csv:local_ep_0_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.726141, 314.216085, 17.726141, 17.726141
stats.LF50.csv:local_ep_1_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 16.184863, 261.949779, 16.184863, 16.184863
stats.LF50.csv:local_ep_2_1_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.689412, 312.915281, 17.689412, 17.689412
stats.LF50.csv:local_ep_0_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.584835, 383.565753, 19.584835, 19.584835
stats.LF50.csv:local_ep_1_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 17.869029, 319.302215, 17.869029, 17.869029
stats.LF50.csv:local_ep_2_2_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.572803, 383.094608, 19.572803, 19.572803
stats.LF55.csv:local_ep_0_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 19.933376, 397.339467, 19.933376, 19.933376
stats.LF55.csv:local_ep_1_0_0:networkIF, average_noc_latency, , Accumulator, 1000000000, 0, 0, 0, 1, 0, 0, 18.092103, 327.324204, 18.092103, 18.092103
